file;person_name;invoice_date;total_amount;product_name;country;;
Apr_invoice_Tonja Turnell_12100.txt;Tonja Turnell;15/04/2012;6298.03;Memorex Router, USB;;;
Apr_invoice_Vivek Sundaresam_22900.txt;Vivek Sundaresam;07/04/2012;7074.7;Hoover Refrigerator, Red;;;
Apr_invoice_Vivek Sundaresam_22902.txt;Vivek Sundaresam;07/04/2012;9118.21;Hoover Microwave, Red;;;
Aug_invoice_Logan Haushalter_21828.txt;Logan Haushalter;02/08/2012;18960.9;Dania Library with Doors, Metal;;;
Aug_invoice_Vivek Grady_20703.txt;Vivek Grady;01/08/2012;1906.05;Novimex Executive Leather Armchair, Adjustable;India;;
Dec_invoice_Logan Haushalter_13043.txt;Logan Haushalter;12/12/2012;1403.34;KitchenAid Stove, Red;;;
Dec_invoice_Lycoris Saunders_16506.txt;Lycoris Saunders;25/12/2012;2648.55;Smead Lockers, Single Width;;;
Dec_invoice_Magdelene Morse_45794.txt;Magdelene Morse;26/12/2012;11300.25;Cisco Smart Phone, with Caller ID;Saudi Arabia;;
Dec_invoice_Magdelene Morse_45797.txt;Magdelene Morse;26/12/2012;8650.83;Motorola Speaker Phone, Cordless;;;
Dec_invoice_Magdelene Morse_45798.txt;Magdelene Morse;26/12/2012;5108.58;StarTech Inkjet, Wireless;;;
Dec_invoice_Troy Staebel_25750.txt;Troy Staebel;07/12/2012;4229.8;Brother Personal Copier, Digital;;;
Dec_invoice_Trudy Brown_15209.txt;Trudy Brown;19/12/2012;1105.55;Office Star Rocking Chair, Red;;;
Dec_invoice_Trudy Brown_15210.txt;Trudy Brown;19/12/2012;2637.43;Sauder Floating Shelf Set, Pine;France;;
Dec_invoice_Victoria Wilson_30489.txt;Victoria Wilson;15/12/2012;4416.46;Lesro Training Table, Fully Assembled;;;
Dec_invoice_Xylona Preis_15577.txt;Xylona Preis;04/12/2012;1717.28;StarTech Printer, Durable;;;
Jan_invoice_Marc Harrigan_18843.txt;Marc Harrigan;22/01/2012;3403.27;Tenex File Cart, Blue;;;
Jan_invoice_Tonja Turnell_26169.txt;Tonja Turnell;15/01/2013;1353.77;Hewlett Fax Machine, Laser;;;
Jan_invoice_Troy Staebel_30584.txt;Troy Staebel;31/01/2012;10413.48;Motorola Smart Phone, Cordless;;;
Jan_invoice_Troy Staebel_30585.txt;Troy Staebel;31/01/2012;7773.25;Barricks Computer Table, Fully Assembled;;;
Jan_invoice_Trudy Glocke_21435.txt;Trudy Glocke;25/01/2013;7325.56;Ikea 3-Shelf Cabinet, Mobile;;;
Jan_invoice_Trudy Schmidt_14380.txt;Trudy Schmidt;10/01/2013;;Hewlett Fax Machine, High-Speed;;;
Jan_invoice_Valerie Dominguez_19175.txt;Valerie Dominguez;19/01/2013;718.64;Samsung Smart Phone, VoIP;;;
Jul_invoice_Tracy Hopkins_21272.txt;Tracy Hopkins;19/07/2012;580.92;Hewlett Personal Copier, Color;;;
Jun_invoice_Tracy Blumstein_28215.txt;Tracy Blumstein;23/06/2012;3365.06;StarTech Card Printer, White;;;
Jun_invoice_Tracy Poddar_13856.txt;Tracy Poddar;13/06/2012;2631.48;Nokia Smart Phone, Full Size;;;
Jun_invoice_Vivek Grady_5101.txt;Vivek Grady;19/06/2012;9164.0;Hewlett Wireless Fax, Digital;;;
Mar_invoice_Marc Crier_17047.txt;Marc Crier;09/06/2012;2462.58;KitchenAid Microwave, Red;;;
Mar_invoice_Maria Etezadi_15492.txt;Maria Etezadi;09/11/2012;2783.58;Tenex File Cart, Single Width;;;
Mar_invoice_Maria Zettner_24429.txt;Maria Zettner;07/03/2013;1770.61;Hon Rocking Chair, Black;;;
Mar_invoice_Maribeth Dona_1259.txt;Maribeth Dona;20/10/2012;5381.04;Canon Fax Machine, High-Speed;;;
Mar_invoice_Maribeth Dona_2080.txt;Maribeth Dona;09/11/2012;28949.11;KitchenAid Refrigerator, Silver;;;
Mar_invoice_Maris LaWare_25420.txt;Maris LaWare;12/12/2012;5066.63;Cuisinart Stove, White;;;
Mar_invoice_Mark Cousins_6646.txt;Mark Cousins;20/03/2012;878.89;SAFCO Rocking Chair, Red;;;
Mar_invoice_Tonja Turnell_18457.txt;Tonja Turnell;09/03/2012;1650.25;Motorola Audio Dock, with Caller ID;;;
May_invoice_Xylona Preis_3875.txt;Xylona Preis;03/05/2012;22940.02;Hon Wood Table, with Bottom Storage;;;
May_invoice_Yana Sorensen_5434.txt;Yana Sorensen;31/05/2012;1031.66;Dania Library with Doors, Metal;;;
May_invoice_Yoseph Carroll_10563.txt;Yoseph Carroll;11/05/2012;5894.12;Smead Lockers, Industrial;Spain;;
Nov_invoice_Lori Olson_11244.txt;Lori Olson;30/11/2012;700.01;Acco Binding Machine, Recycled;;;
Nov_invoice_Tony Molinari_25880.txt;Tony Molinari;17/11/2012;1759.82;Rogers File Cart, Industrial;;;
Nov_invoice_Tony Molinari_25881.txt;Tony Molinari;17/11/2012;4368.45;Novimex Swivel Stool, Black;;;
Nov_invoice_Troy Blackwell_18864.txt;Troy Blackwell;21/11/2012;1356.49;Rogers File Cart, Single Width;Austria;;
Nov_invoice_Trudy Brown_17041.txt;Trudy Brown;23/11/2012;4932.08;Canon Fax and Copier, Color;;;
Nov_invoice_Trudy Brown_17042.txt;Trudy Brown;23/11/2012;1146.48;Epson Receipt Printer, Wireless;;;
Nov_invoice_Valerie Takahito_22655.txt;Valerie Takahito;17/11/2012;6590.5;Hon Rocking Chair, Adjustable;;;
Nov_invoice_Victoria Brennan_17080.txt;Victoria Brennan;29/11/2012;6922.52;Harbour Creations Chairmat, Black;France;;
Nov_invoice_Yoseph Carroll_31061.txt;Yoseph Carroll;30/11/2012;2921.43;Bevis Computer Table, Adjustable Height;;;
Oct_invoice_Tracy Blumstein_20584.txt;Tracy Blumstein;25/10/2012;1551.57;Breville Refrigerator, Red;;;
Sep_invoice_Trudy Brown_26186.txt;Trudy Brown;25/09/2012;448.71;KitchenAid Refrigerator, Black;;;
Sep_invoice_Victor Preis_25463.txt;Victor Preis;14/09/2012;5314.27;Eldon File Cart, Single Width;Australia;;
Sep_invoice_Zuschuss Carroll_15951.txt;Zuschuss Carroll;22/09/2012;5039.0;Breville Microwave, Silver;;;
Sep_invoice_Zuschuss Carroll_15953.txt;Zuschuss Carroll;22/09/2012;17560.21;Cuisinart Stove, Silver;;;
